Price (Million VND),count
150000.0,1
120000.0,1
55000.0,1
45000.0,1
38000.0,1
36000.0,1
30000.0,1
25500.0,1
24000.0,2
21000.0,1
20000.0,3
19000.0,2
18500.0,1
18000.0,4
17250.0,1
17000.0,1
16000.0,2
15000.0,3
14700.0,1
14000.0,2
13900.0,1
13500.0,1
12900.0,1
12380.0,1
12000.0,4
11800.0,1
11200.0,1
11000.0,2
10500.0,1
10480.0,1
10100.0,1
10000.0,2
9800.0,1
9500.0,4
9200.0,1
9100.0,1
9000.0,4
8900.0,1
8800.0,2
8700.0,1
8600.0,1
8580.0,1
8550.0,1
8500.0,2
8300.0,2
8200.0,1
8150.0,1
8000.0,5
7983.0,1
7977.0,1
7958.0,1
7951.0,1
7945.0,1
7920.0,1
7879.0,1
7860.0,1
7832.0,1
7814.0,1
7800.0,2
7798.0,1
7790.0,1
7786.0,1
7777.777,1
7776.0,1
7761.0,1
7753.0,1
7748.0,1
7733.0,1
7731.0,1
7721.0,1
7700.0,1
7691.0,1
7688.0,1
7683.0,1
7679.0,1
7675.0,1
7665.0,1
7641.0,1
7625.0,1
7612.0,1
7602.0,1
7600.0,1
7598.0,1
7595.0,1
7592.0,1
7589.0,1
7581.0,1
7550.0,1
7546.0,1
7541.0,1
7526.0,1
7510.0,1
7503.0,1
7500.0,5
7494.0,1
7492.0,1
7487.0,1
7484.0,1
7478.0,1
7452.0,1
7448.0,1
7422.0,1
7421.0,1
7413.0,1
7405.0,1
7404.0,1
7400.0,1
7399.0,2
7384.0,1
7370.0,1
7368.0,1
7366.0,1
7363.0,1
7362.0,1
7358.0,1
7357.0,1
7355.0,1
7354.0,2
7353.0,1
7352.0,1
7348.0,1
7344.0,1
7340.0,2
7336.0,1
7333.0,1
7329.0,1
7324.0,1
7320.0,1
7319.0,1
7309.0,1
7305.0,1
7300.0,1
7299.0,1
7294.0,1
7291.0,1
7289.0,1
7286.0,1
7275.0,2
7274.0,1
7272.0,1
7267.0,1
7257.0,1
7255.0,1
7253.0,1
7251.0,1
7247.0,1
7236.0,1
7235.0,1
7233.0,1
7232.0,1
7228.0,1
7220.0,2
7219.0,1
7217.0,2
7212.0,1
7205.0,1
7200.0,5
7199.0,1
7195.0,1
7192.0,1
7189.0,1
7181.0,1
7177.0,1
7176.0,1
7166.0,1
7165.0,1
7160.0,1
7159.0,4
7158.0,1
7157.0,1
7156.0,1
7155.0,1
7149.0,1
7148.0,1
7147.0,2
7146.0,1
7145.0,1
7143.0,1
7141.0,1
7137.0,1
7136.0,1
7131.0,1
7130.0,2
7129.0,2
7127.0,1
7126.0,1
7122.0,1
7118.0,2
7115.0,1
7113.0,1
7112.0,1
7108.0,1
7107.0,1
7103.0,1
7102.0,1
7100.0,1
7099.0,1
7098.0,4
7094.0,1
7092.0,1
7091.0,1
7090.0,2
7089.0,1
7080.0,1
7079.0,1
7078.0,1
7076.0,1
7075.0,1
7074.0,1
7073.0,1
7071.0,1
7065.0,1
7062.0,1
7058.0,2
7054.0,1
7051.0,1
7048.0,1
7047.0,2
7046.0,1
7044.0,1
7042.0,1
7041.0,1
7039.0,1
7038.0,1
7037.0,2
7036.0,2
7034.0,2
7032.0,1
7031.0,1
7030.0,2
7028.0,1
7027.0,2
7026.0,1
7025.0,1
7024.0,1
7021.0,1
7017.0,1
7013.0,1
7011.0,1
7010.0,1
7009.0,1
7007.0,1
7006.0,1
7005.0,1
7004.0,1
7001.0,1
7000.0,4
6998.0,1
6997.0,2
6995.0,1
6988.0,2
6987.0,1
6986.0,1
6982.0,2
6980.0,1
6974.0,1
6973.0,1
6972.0,2
6970.0,2
6969.0,1
6968.0,1
6964.0,3
6961.0,1
6960.0,1
6959.0,3
6956.0,1
6955.0,1
6953.0,1
6951.0,1
6946.0,1
6941.0,1
6939.0,2
6937.0,2
6936.0,1
6935.0,1
6934.0,1
6933.0,2
6931.0,2
6930.0,1
6929.0,1
6928.0,1
6927.0,3
6924.0,1
6923.0,1
6922.0,1
6919.0,2
6917.0,1
6915.0,1
6913.0,2
6912.0,1
6911.0,1
6909.0,1
6908.0,1
6906.0,1
6905.0,1
6903.0,2
6901.0,1
6900.0,7
6899.0,1
6891.0,1
6888.0,2
6887.0,3
6883.0,2
6882.0,1
6881.0,1
6879.0,1
6876.0,2
6873.0,1
6870.0,1
6868.0,1
6864.0,1
6862.0,1
6861.0,2
6860.0,2
6855.0,1
6853.0,2
6852.0,2
6851.0,1
6850.0,2
6848.0,2
6847.0,1
6845.0,1
6842.0,3
6839.0,1
6838.0,1
6837.0,1
6836.0,1
6834.0,1
6831.0,3
6830.0,1
6826.0,1
6825.0,1
6824.0,2
6823.0,3
6822.0,1
6821.0,6
6819.0,1
6817.0,3
6816.0,1
6815.0,1
6814.0,1
6813.0,3
6810.0,1
6807.0,1
6805.0,1
6802.0,1
6801.0,1
6800.0,4
6799.0,1
6798.0,1
6797.0,2
6796.0,1
6795.0,1
6794.0,3
6792.0,1
6790.0,1
6789.0,1
6788.0,1
6787.0,3
6786.0,1
6784.0,1
6782.0,1
6781.0,1
6778.0,1
6777.0,2
6776.0,1
6775.0,3
6774.0,1
6773.0,1
6772.0,1
6771.0,1
6770.0,1
6768.0,1
6766.0,2
6764.0,3
6763.0,2
6762.0,2
6760.0,1
6759.0,4
6758.0,2
6755.0,2
6753.0,3
6752.0,1
6751.0,1
6750.0,2
6749.0,1
6748.0,2
6746.0,1
6744.0,3
6743.0,1
6742.0,2
6741.0,1
6740.0,2
6739.0,3
6738.0,1
6737.0,3
6736.0,2
6733.0,4
6732.0,2
6730.0,1
6728.0,1
6727.0,1
6725.0,1
6724.0,2
6723.0,4
6722.0,2
6721.0,2
6720.0,2
6717.0,1
6716.0,5
6715.0,1
6714.0,2
6713.0,1
6712.0,3
6710.0,1
6709.0,1
6707.0,4
6702.0,1
6701.0,4
6700.0,2
6699.0,1
6695.0,2
6693.0,3
6692.0,1
6691.0,1
6690.0,4
6689.0,1
6688.0,2
6685.0,2
6684.0,1
6683.0,2
6682.0,1
6681.0,4
6680.0,1
6679.0,1
6678.0,2
6677.0,1
6676.0,1
6675.0,1
6669.0,2
6668.0,1
6667.0,2
6666.666,1
6666.0,2
6665.0,2
6664.0,2
6662.0,2
6660.0,1
6658.0,3
6657.0,2
6656.0,2
6654.0,3
6651.0,2
6650.0,2
6649.0,2
6648.0,2
6647.0,1
6646.0,2
6645.0,1
6644.0,1
6643.0,1
6642.0,1
6641.0,1
6640.0,3
6639.0,2
6638.0,2
6637.0,1
6636.0,1
6634.0,1
6632.0,3
6631.0,1
6630.0,2
6629.0,2
6628.0,1
6626.0,1
6625.0,3
6624.0,1
6623.0,2
6622.0,2
6621.0,2
6620.0,2
6619.0,1
6618.0,3
6617.0,1
6616.0,1
6615.0,2
6614.0,1
6613.0,2
6612.0,1
6610.0,2
6609.0,3
6608.0,3
6607.0,3
6603.0,1
6602.0,2
6601.0,2
6600.0,2
6599.0,1
6598.0,2
6597.0,1
6595.0,2
6594.0,2
6593.0,1
6592.0,5
6591.0,1
6590.957569,1
6589.0,1
6588.0,1
6587.0,1
6585.0,3
6584.0,3
6583.0,2
6581.0,1
6580.0,1
6579.0,2
6578.0,2
6577.0,2
6576.0,2
6575.0,2
6572.0,2
6571.0,2
6570.0,6
6569.0,1
6568.0,2
6567.0,1
6566.0,1
6565.0,2
6564.0,1
6563.0,2
6561.0,1
6560.0,1
6559.0,1
6558.0,1
6557.0,1
6556.0,2
6555.0,1
6551.0,3
6550.0,2
6549.0,1
6548.0,2
6546.0,1
6545.0,1
6543.0,3
6542.0,4
6541.0,1
6540.0,1
6539.0,4
6538.0,2
6537.0,2
6536.0,2
6533.0,2
6532.0,1
6531.0,2
6530.0,1
6529.0,2
6527.0,1
6525.0,3
6524.0,2
6523.0,2
6522.0,4
6521.0,2
6520.0,3
6519.0,5
6518.0,3
6517.0,2
6516.0,3
6515.0,2
6513.0,1
6512.0,2
6511.0,3
6510.0,6
6509.0,1
