Model,Fold,R2
LinearRegression,1,0.6564754130924149
LinearRegression,2,0.6502193867820629
LinearRegression,3,0.5902331632991693
LinearRegression,4,0.6534015524892534
LinearRegression,5,0.6542388269504619
Ridge,1,0.656507253855861
Ridge,2,0.6501981455103671
Ridge,3,0.5903124952896965
Ridge,4,0.6533774598229778
Ridge,5,0.6541571648111173
Lasso,1,0.6563257640935491
Lasso,2,0.6491869357560538
Lasso,3,0.5906886690926298
Lasso,4,0.65305376994361
Lasso,5,0.6533176263453708
DecisionTreeRegressor,1,0.5270156565726485
DecisionTreeRegressor,2,0.5501824200368923
DecisionTreeRegressor,3,0.522320158836074
DecisionTreeRegressor,4,0.5228209884664041
DecisionTreeRegressor,5,0.5219248810737145
RandomForestRegressor,1,0.72307084724675
RandomForestRegressor,2,0.7408633202027666
RandomForestRegressor,3,0.7209544397028541
RandomForestRegressor,4,0.7191285846343308
RandomForestRegressor,5,0.7270103065756277
GradientBoostingRegressor,1,0.7312914951711669
GradientBoostingRegressor,2,0.7362069273838401
GradientBoostingRegressor,3,0.7276599222129299
GradientBoostingRegressor,4,0.7223226867469599
GradientBoostingRegressor,5,0.7331720717462721
HistGradientBoostingRegressor,1,0.7555706857093603
HistGradientBoostingRegressor,2,0.7603752041182203
HistGradientBoostingRegressor,3,0.752006863176486
HistGradientBoostingRegressor,4,0.7469994468374805
HistGradientBoostingRegressor,5,0.7513637009030175
XGBRegressor,1,0.7501772976583726
XGBRegressor,2,0.7559822287282725
XGBRegressor,3,0.7501057434867868
XGBRegressor,4,0.7442013935015009
XGBRegressor,5,0.7504460253062867
LGBMRegressor,1,0.7567573333817921
LGBMRegressor,2,0.7640747156657453
LGBMRegressor,3,0.7531058474908617
LGBMRegressor,4,0.7483928843466046
LGBMRegressor,5,0.7538788907045144
